Titulo,Cifra,Fecha,Valor,Año,Mes,Nombre_Mes,Dia,Serie
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/03/2012,107.2620095,2012,3,March,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/04/2012,106.3475269,2012,4,April,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/05/2012,104.9265589,2012,5,May,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/06/2012,105.1887654,2012,6,June,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/07/2012,105.9584148,2012,7,July,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/08/2012,106.5904469,2012,8,August,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/09/2012,106.801104,2012,9,September,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/10/2012,107.8610889,2012,10,October,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/11/2012,109.6998155,2012,11,November,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/12/2012,109.8134316,2012,12,December,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/01/2013,110.6818409,2013,1,January,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/02/2013,111.4059534,2013,2,February,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/03/2013,111.9888941,2013,3,March,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/04/2013,111.8040403,2013,4,April,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/05/2013,110.8474604,2013,5,May,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/06/2013,111.0404004,2013,6,June,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/07/2013,111.0584425,2013,7,July,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/08/2013,111.2491046,2013,8,August,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/09/2013,111.5790721,2013,9,September,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/10/2013,112.8527966,2013,10,October,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/11/2013,114.8281654,2013,11,November,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/12/2013,115.5258143,2013,12,December,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/01/2014,117.506111,2014,1,January,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/02/2014,117.8514245,2014,2,February,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/03/2014,118.1425027,2014,3,March,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/04/2014,117.2096644,2014,4,April,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/05/2014,115.94937,2014,5,May,1,Canasta Básica
